FATALITY_ID;NUTS_3_ID;DATE;AGE_STRING;GENDER;RESIDENCY;VICTIM_CONDITION;VICTIM_ACTIVITY;ACCIDENT_PLACE;ACCIDENT_DYNAMIC;DEATH_CAUSE;PROTECTIVE_BEHAVIOR;HAZARDOUS_BEHAVIOR
1;NA;1980/01/18;Unknown;F;Unknown;Unknown;Unknown;Riverbed/riverside;Fallen into the river;Drowning;Unknown;Unknown
2;NA;1980/01/19;Unknown;F;Unknown;Unknown;Unknown;Riverbed/riverside;Fallen into the river;Drowning;Unknown;Unknown
3;NA;1980/01/27;Unknown;M;Unknown;Unknown;Unknown;Riverbed/riverside;Unknown;Drowning;Unknown;Unknown
4;TR823;1980/03/27;Unknown;M;Resident;Unknown;Unknown;Riverbed/riverside;Dragged by water/mud;Drowning;Unknown;Unknown
5;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
6;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
7;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
8;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
9;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
10;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
11;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
12;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
13;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
14;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
15;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
16;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
17;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
18;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
19;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
20;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
21;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
22;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
23;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
24;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
25;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
26;TR714;1980/03/27;Unknown;Unknown;Resident;Unknown;Unknown;Public/private building;Caught in a building collapse;Collapse/Heart attack;Unknown;Unknown
