FATALITY_ID;COUNTRY;FFEM_STUDY_AREA;STUDY_AREA_ACHRONIM;TERRITORIAL_LV1;TERRITORIAL_LV2;TERRITORIAL_LV3;LATITUDE;LONGITUDE;LOC_ACCURACY;NUTS_3_ID
1;Israel;Israel;ISR;Southern District;Beer Sheva;Ein HaBsor;31.308357;34.490003;Hight Accuracy;NA
2;Israel;Israel;ISR;Southern District;Beer Sheva;Ein HaBsor;31.308357;34.490003;Hight Accuracy;NA
3;Israel;Israel;ISR;Central District;Rehovot;Bussy Saint Georges;31.863465;34.814447;Hight Accuracy;NA
4;Turkey;Turkey;TUR;Black Sea;SİNOP;DURAĞAN;41.383333;35.233333;Low Accuracy;TR823
5;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
6;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
7;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
8;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
9;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
10;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
11;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
12;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
13;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
14;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
15;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
16;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
17;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
18;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
19;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
20;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
21;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
22;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
23;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
24;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
25;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
26;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
27;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
28;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
29;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
30;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
31;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
32;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
33;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
34;Turkey;Turkey;TUR;Central Anatolia;NEVŞEHİR;DERİNKUYU;38.366667;34.866667;Low Accuracy;TR714
