region_id,region_name,tourism_base,tourism_trend,arrivals_base,arrivals_trend,gdp_base,gdp_trend,education_base,education_trend,health_base,health_trend,governance_base,governance_trend
EL30,Attiki,0.0,0.0,0.641,0.0,1.0,0.0,1.0,0.0,0.884,0.0,1.0,0.0
EL41,Voreio Aigaio,0.209,0.0,1.0,0.0,0.0,0.0,0.321,0.0,0.311,0.0,0.791,0.0
EL42,Notio Aigaio,1.0,0.0,0.782,0.0,0.568,0.0,0.082,0.0,0.188,0.0,0.0,0.0
EL43,Kriti,0.143,0.0,0.934,0.0,0.267,0.0,0.291,0.0,0.578,0.0,0.857,0.0
EL11,"Anatoliki Makedonia, Thraki",0.076,0.0,0.229,0.0,0.008,0.0,0.163,0.0,0.641,0.0,0.924,0.0
EL12,Kentriki Makedonia,0.096,0.0,0.362,0.0,0.181,0.0,0.551,0.0,0.729,0.0,0.904,0.0
EL13,Dytiki Makedonia,0.026,0.0,0.182,0.0,0.31,0.0,0.332,0.0,0.693,0.0,0.974,0.0
EL21,Ipeiros,0.241,0.0,0.91,0.0,0.011,0.0,0.571,0.0,0.784,0.0,0.759,0.0
EL14,Thessalia,0.15,0.0,0.603,0.0,0.148,0.0,0.571,0.0,1.0,0.0,0.85,0.0
EL22,Ionia Nisia,0.427,0.0,0.0,0.0,0.374,0.0,0.204,0.0,0.363,0.0,0.573,0.0
EL23,Dytiki Elláda,0.073,0.0,0.541,0.0,0.087,0.0,0.0,0.0,0.366,0.0,0.927,0.0
EL24,Sterea Elláda,0.17,0.0,0.85,0.0,0.309,0.0,0.133,0.0,0.0,0.0,0.83,0.0
EL25,Peloponnisos,0.305,0.0,0.78,0.0,0.274,0.0,0.163,0.0,0.16,0.0,0.695,0.0
