Scenario,NUTS 2 Area Name,Date,Tmax,Tmin
ssp126,"Anatoliki Makedonia, Thraki",2015-01,7.35,0.43
ssp126,"Anatoliki Makedonia, Thraki",2015-02,7.77,-0.1
ssp126,"Anatoliki Makedonia, Thraki",2015-03,13.51,5.89
ssp126,"Anatoliki Makedonia, Thraki",2015-04,17.55,8.56
ssp126,"Anatoliki Makedonia, Thraki",2015-05,22.09,12.08
ssp126,"Anatoliki Makedonia, Thraki",2015-06,27.19,16.68
ssp126,"Anatoliki Makedonia, Thraki",2015-07,29.54,19.04
ssp126,"Anatoliki Makedonia, Thraki",2015-08,29.92,19.46
ssp126,"Anatoliki Makedonia, Thraki",2015-09,26.18,15.42
ssp126,"Anatoliki Makedonia, Thraki",2015-10,23.03,13.34
ssp126,"Anatoliki Makedonia, Thraki",2015-11,15.15,7.02
ssp126,"Anatoliki Makedonia, Thraki",2015-12,10.31,3.4
ssp126,"Anatoliki Makedonia, Thraki",2016-01,7.47,0.84
ssp126,"Anatoliki Makedonia, Thraki",2016-02,9.31,2.19
ssp126,"Anatoliki Makedonia, Thraki",2016-03,13.52,6.16
ssp126,"Anatoliki Makedonia, Thraki",2016-04,17.49,8.51
ssp126,"Anatoliki Makedonia, Thraki",2016-05,22.85,12.86
ssp126,"Anatoliki Makedonia, Thraki",2016-06,27.69,18.17
ssp126,"Anatoliki Makedonia, Thraki",2016-07,31.1,21.17
ssp126,"Anatoliki Makedonia, Thraki",2016-08,29.51,19.81
ssp126,"Anatoliki Makedonia, Thraki",2016-09,25.56,16.15
ssp126,"Anatoliki Makedonia, Thraki",2016-10,21.16,11.24
ssp126,"Anatoliki Makedonia, Thraki",2016-11,16.27,7.61
ssp126,"Anatoliki Makedonia, Thraki",2016-12,11.23,4.91
ssp126,"Anatoliki Makedonia, Thraki",2017-01,7.56,1.82
ssp126,"Anatoliki Makedonia, Thraki",2017-02,8.73,2.64
ssp126,"Anatoliki Makedonia, Thraki",2017-03,13.18,5.22
ssp126,"Anatoliki Makedonia, Thraki",2017-04,16.3,7.72
ssp126,"Anatoliki Makedonia, Thraki",2017-05,20.67,11.44
ssp126,"Anatoliki Makedonia, Thraki",2017-06,26.28,17.59
ssp126,"Anatoliki Makedonia, Thraki",2017-07,30.9,20.83
ssp126,"Anatoliki Makedonia, Thraki",2017-08,29.08,19.16
ssp126,"Anatoliki Makedonia, Thraki",2017-09,26.49,15.77
ssp126,"Anatoliki Makedonia, Thraki",2017-10,20.32,12.2
ssp126,"Anatoliki Makedonia, Thraki",2017-11,14.82,7.14
ssp126,"Anatoliki Makedonia, Thraki",2017-12,11.13,4.54
ssp126,"Anatoliki Makedonia, Thraki",2018-01,6.95,0.12
ssp126,"Anatoliki Makedonia, Thraki",2018-02,8.61,1.65
ssp126,"Anatoliki Makedonia, Thraki",2018-03,9.39,2.61
ssp126,"Anatoliki Makedonia, Thraki",2018-04,18.5,9.01
ssp126,"Anatoliki Makedonia, Thraki",2018-05,20.18,11.85
ssp126,"Anatoliki Makedonia, Thraki",2018-06,26.11,16.21
ssp126,"Anatoliki Makedonia, Thraki",2018-07,29.75,19.3
ssp126,"Anatoliki Makedonia, Thraki",2018-08,29.9,19.73
ssp126,"Anatoliki Makedonia, Thraki",2018-09,24.71,15.11
ssp126,"Anatoliki Makedonia, Thraki",2018-10,17.33,9.82
ssp126,"Anatoliki Makedonia, Thraki",2018-11,16.05,8.17
ssp126,"Anatoliki Makedonia, Thraki",2018-12,8.82,2.79
ssp126,"Anatoliki Makedonia, Thraki",2019-01,8.76,2.32
ssp126,"Anatoliki Makedonia, Thraki",2019-02,8,1.97
ssp126,"Anatoliki Makedonia, Thraki",2019-03,10.92,3.82
ssp126,"Anatoliki Makedonia, Thraki",2019-04,17.21,8.66
ssp126,"Anatoliki Makedonia, Thraki",2019-05,23.35,12.83
ssp126,"Anatoliki Makedonia, Thraki",2019-06,25.95,15.86
ssp126,"Anatoliki Makedonia, Thraki",2019-07,31.47,20.85
ssp126,"Anatoliki Makedonia, Thraki",2019-08,30.67,20.26
ssp126,"Anatoliki Makedonia, Thraki",2019-09,26.88,16.37
ssp126,"Anatoliki Makedonia, Thraki",2019-10,22.42,11.27
ssp126,"Anatoliki Makedonia, Thraki",2019-11,15.19,5.96
ssp126,"Anatoliki Makedonia, Thraki",2019-12,8.21,2.56
ssp126,"Anatoliki Makedonia, Thraki",2020-01,8.05,1.24
ssp126,"Anatoliki Makedonia, Thraki",2020-02,5.84,-0.18
ssp126,"Anatoliki Makedonia, Thraki",2020-03,12.16,3.71
ssp126,"Anatoliki Makedonia, Thraki",2020-04,17.24,7.83
ssp126,"Anatoliki Makedonia, Thraki",2020-05,23.18,12.98
ssp126,"Anatoliki Makedonia, Thraki",2020-06,24.52,16
ssp126,"Anatoliki Makedonia, Thraki",2020-07,30.14,19.29
ssp126,"Anatoliki Makedonia, Thraki",2020-08,29.89,19.64
ssp126,"Anatoliki Makedonia, Thraki",2020-09,24.81,14.43
ssp126,"Anatoliki Makedonia, Thraki",2020-10,17.96,9.72
ssp126,"Anatoliki Makedonia, Thraki",2020-11,16.27,9.07
ssp126,"Anatoliki Makedonia, Thraki",2020-12,8.89,2.83
ssp126,"Anatoliki Makedonia, Thraki",2021-01,6.27,-0.68
ssp126,"Anatoliki Makedonia, Thraki",2021-02,8.59,2.02
ssp126,"Anatoliki Makedonia, Thraki",2021-03,15.01,6.75
ssp126,"Anatoliki Makedonia, Thraki",2021-04,16.75,8.76
ssp126,"Anatoliki Makedonia, Thraki",2021-05,23.22,12.99
ssp126,"Anatoliki Makedonia, Thraki",2021-06,29.68,18.42
ssp126,"Anatoliki Makedonia, Thraki",2021-07,29.96,19.82
ssp126,"Anatoliki Makedonia, Thraki",2021-08,30.46,20.31
ssp126,"Anatoliki Makedonia, Thraki",2021-09,26.56,16.66
ssp126,"Anatoliki Makedonia, Thraki",2021-10,22.26,13.21
ssp126,"Anatoliki Makedonia, Thraki",2021-11,16.41,7.98
ssp126,"Anatoliki Makedonia, Thraki",2021-12,11.82,4.47
ssp126,"Anatoliki Makedonia, Thraki",2022-01,7.38,1.22
ssp126,"Anatoliki Makedonia, Thraki",2022-02,6.14,-0.02
ssp126,"Anatoliki Makedonia, Thraki",2022-03,13.14,5.08
